,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
1,Patrick van Aanholt,DF,nl Netherlands,30,1990,4,4,297,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.7,0.08,0.13,0.21,0.08,0.21,Matches,5f09991f
2,Francesco Acerbi,DF,it Italy,32,1988,3,1,232,2.6,0,1,0,0,0,0,0,0.00,0.39,0.39,0.00,0.39,0.0,0.0,0.3,0.3,0.02,0.12,0.14,0.02,0.14,Matches,b96b595c
3,Che Adams,FW,sct Scotland,24,1996,3,2,213,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.4,1.1,0.29,0.18,0.47,0.29,0.47,Matches,f2bf1b0f
4,Arijan Ademi,MF,mk North Macedonia,29,1991,3,3,251,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.08,0.01,0.09,0.08,0.09,Matches,ee926a02
5,Manuel Obafemi Akanji,DF,ch Switzerland,25,1995,5,5,510,5.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.07,0.01,0.08,0.07,0.08,Matches,89ac64a6
6,Nathan Aké,DF,nl Netherlands,25,1995,2,0,54,0.6,0,1,0,0,0,0,0,0.00,1.67,1.67,0.00,1.67,0.0,0.0,0.0,0.1,0.05,0.05,0.10,0.05,0.10,Matches,eaeca114
7,David Olatukunbo Alaba,DF,at Austria,28,1992,4,4,390,4.3,0,2,0,0,0,1,0,0.00,0.46,0.46,0.00,0.46,0.2,0.2,0.8,1.0,0.04,0.19,0.23,0.04,0.23,Matches,05439de2
8,Jordi Alba Ramos,DF,es Spain,31,1989,6,5,554,6.2,0,1,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,0.1,0.1,1.5,1.5,0.01,0.24,0.25,0.01,0.25,Matches,4601e194
9,Thiago Alcântara do Nascimento,MF,es Spain,29,1991,4,0,68,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.09,0.16,0.25,0.09,0.25,Matches,77e84962
